,time_since_ri,wind_speed
455,0 days 12:00:00,
456,0 days 18:00:00,15.354448318481445
457,1 days 00:00:00,15.715478897094727
458,1 days 12:00:00,40.79509735107422
459,-1 days +09:00:00,
460,-1 days +15:00:00,
461,-1 days +21:00:00,13.796085357666016
462,0 days 09:00:00,
463,0 days 15:00:00,15.354448318481445
464,0 days 21:00:00,15.715478897094727
465,1 days 09:00:00,40.79509735107422
466,-2 days +21:00:00,
467,-1 days +03:00:00,
468,-1 days +09:00:00,13.796085357666016
469,-1 days +21:00:00,
470,0 days 03:00:00,15.354448318481445
471,0 days 09:00:00,15.715478897094727
472,0 days 21:00:00,40.79509735107422
473,1 days 09:00:00,
474,-1 days +18:00:00,
475,0 days 00:00:00,9.85277271270752
476,0 days 06:00:00,19.376087188720703
477,0 days 18:00:00,
478,1 days 00:00:00,9.880696296691895
479,1 days 06:00:00,20.65074348449707
480,-1 days +12:00:00,
481,-1 days +18:00:00,9.85277271270752
482,0 days 00:00:00,19.376087188720703
483,0 days 12:00:00,
484,0 days 18:00:00,9.880696296691895
485,1 days 00:00:00,20.65074348449707
486,1 days 12:00:00,
487,-1 days +12:00:00,
488,0 days 00:00:00,14.178881645202637
489,0 days 12:00:00,
490,1 days 00:00:00,19.971208572387695
491,1 days 12:00:00,
492,0 days 00:00:00,7.810065746307373
493,0 days 06:00:00,12.338582992553711
494,0 days 12:00:00,3.848478317260742
495,1 days 00:00:00,13.42747688293457
496,1 days 06:00:00,
497,-1 days +18:00:00,7.810065746307373
498,0 days 00:00:00,12.338582992553711
499,0 days 06:00:00,3.848478317260742
500,0 days 18:00:00,13.42747688293457
501,1 days 00:00:00,
502,-1 days +12:00:00,7.810065746307373
503,-1 days +18:00:00,12.338582992553711
504,0 days 00:00:00,3.848478317260742
505,0 days 12:00:00,13.42747688293457
506,0 days 18:00:00,
507,1 days 12:00:00,11.8355131149292
508,-2 days +00:00:00,
509,-2 days +06:00:00,11.109869003295898
510,-1 days +00:00:00,12.050933837890625
511,-1 days +06:00:00,12.755094528198242
512,0 days 00:00:00,18.743261337280273
513,0 days 06:00:00,19.749292373657227
514,1 days 00:00:00,25.86402702331543
515,1 days 06:00:00,22.450462341308594
516,-3 days +00:00:00,
517,-3 days +18:00:00,
518,-2 days +00:00:00,11.109869003295898
519,-2 days +18:00:00,12.050933837890625
520,-1 days +00:00:00,12.755094528198242
521,-1 days +18:00:00,18.743261337280273
522,0 days 00:00:00,19.749292373657227
523,0 days 18:00:00,25.86402702331543
524,1 days 00:00:00,22.450462341308594
525,1 days 18:00:00,27.656158447265625
526,-1 days +06:00:00,
527,0 days 00:00:00,11.005288124084473
528,0 days 06:00:00,
529,0 days 18:00:00,8.556106567382812
530,1 days 00:00:00,15.897397994995117
531,1 days 06:00:00,20.35015296936035
532,-1 days +00:00:00,9.300788879394531
533,-1 days +06:00:00,11.905950546264648
534,0 days 00:00:00,9.903165817260742
535,0 days 06:00:00,10.118457794189453
536,0 days 18:00:00,15.050865173339844
537,1 days 00:00:00,
538,1 days 06:00:00,
539,-1 days +18:00:00,9.903165817260742
540,0 days 00:00:00,10.118457794189453
541,0 days 12:00:00,15.050865173339844
542,0 days 18:00:00,
543,1 days 00:00:00,
544,1 days 12:00:00,16.264373779296875
545,-1 days +06:00:00,9.903165817260742
546,-1 days +12:00:00,10.118457794189453
547,0 days 00:00:00,15.050865173339844
548,0 days 06:00:00,
549,0 days 12:00:00,
550,1 days 00:00:00,16.264373779296875
551,1 days 06:00:00,28.13311004638672
552,1 days 12:00:00,
553,-1 days +12:00:00,20.47248649597168
554,-1 days +18:00:00,
555,0 days 00:00:00,8.987886428833008
556,0 days 12:00:00,41.87065505981445
557,0 days 18:00:00,41.226722717285156
558,1 days 12:00:00,12.548726081848145
559,-1 days +12:00:00,11.470711708068848
560,0 days 00:00:00,11.682271003723145
561,0 days 12:00:00,14.472063064575195
562,1 days 00:00:00,12.859811782836914
563,1 days 12:00:00,12.733513832092285
564,6 days 00:00:00,17.714366912841797
565,6 days 06:00:00,
566,-1 days +12:00:00,11.682271003723145
567,0 days 00:00:00,14.472063064575195
568,0 days 12:00:00,12.859811782836914
569,1 days 00:00:00,12.733513832092285
570,1 days 18:00:00,12.195683479309082
571,2 days 00:00:00,26.031057357788086
572,5 days 12:00:00,17.714366912841797
573,5 days 18:00:00,
574,-5 days +12:00:00,14.472063064575195
575,-3 days +06:00:00,12.195683479309082
576,-3 days +12:00:00,26.031057357788086
577,-2 days +06:00:00,15.111289978027344
578,-2 days +12:00:00,10.693792343139648
579,-1 days +00:00:00,11.411249160766602
580,-1 days +06:00:00,22.47735595703125
581,0 days 00:00:00,9.897357940673828
582,0 days 06:00:00,26.8829345703125
583,1 days 00:00:00,17.714366912841797
584,1 days 06:00:00,
585,-5 days +06:00:00,14.472063064575195
586,-3 days +00:00:00,12.195683479309082
587,-3 days +06:00:00,26.031057357788086
588,-1 days +18:00:00,9.897357940673828
589,0 days 00:00:00,26.8829345703125
590,0 days 18:00:00,17.714366912841797
591,1 days 00:00:00,
592,1 days 18:00:00,
593,-1 days +12:00:00,10.981979370117188
594,-1 days +18:00:00,9.138269424438477
595,0 days 00:00:00,3.6161437034606934
596,0 days 06:00:00,5.265722751617432
597,0 days 12:00:00,16.757047653198242
598,0 days 18:00:00,9.299603462219238
599,1 days 00:00:00,5.727431774139404
600,1 days 06:00:00,8.825164794921875
601,1 days 12:00:00,10.232898712158203
602,-1 days +09:00:00,23.827789306640625
603,-1 days +15:00:00,25.573965072631836
604,-1 days +21:00:00,20.20730972290039
605,0 days 09:00:00,26.988887786865234
606,0 days 15:00:00,18.66094970703125
607,0 days 21:00:00,
608,1 days 09:00:00,32.04924774169922
609,-1 days +03:00:00,20.20730972290039
610,-1 days +15:00:00,26.988887786865234
611,-1 days +21:00:00,18.66094970703125
612,0 days 03:00:00,
613,0 days 15:00:00,32.04924774169922
614,0 days 21:00:00,16.47919464111328
615,1 days 03:00:00,45.57658004760742
616,1 days 15:00:00,13.059232711791992
617,-1 days +03:00:00,26.988887786865234
618,-1 days +09:00:00,18.66094970703125
619,-1 days +15:00:00,
620,0 days 03:00:00,32.04924774169922
621,0 days 09:00:00,16.47919464111328
622,0 days 15:00:00,45.57658004760742
623,1 days 03:00:00,13.059232711791992
624,1 days 09:00:00,10.691156387329102
625,1 days 15:00:00,13.668907165527344
626,-1 days +00:00:00,10.92431354522705
627,-1 days +12:00:00,12.793007850646973
628,-1 days +18:00:00,9.385933876037598
629,0 days 00:00:00,8.822202682495117
630,0 days 12:00:00,15.458429336547852
631,0 days 18:00:00,9.866616249084473
632,1 days 12:00:00,15.216525077819824
633,1 days 18:00:00,
634,-1 days +12:00:00,45.7542724609375
635,-1 days +18:00:00,16.101526260375977
636,0 days 00:00:00,19.186481475830078
637,0 days 12:00:00,
638,0 days 18:00:00,13.480008125305176
639,1 days 12:00:00,37.11802291870117
640,-1 days +06:00:00,13.835891723632812
641,-1 days +12:00:00,
